Squad,Player,Rk,Nation,Pos,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,PlSqu
Toulouse,Zakaria Aboukhlal,16,ma MAR,"MF,FW",fr Ligue 1,24,2000,21.1,7,62,26,41.9,2.94,1.23,0.10,0.23,14.6,0,1,2,10.2,8.6,0.14,-3.2,-2.6,Zakaria AboukhlalToulouse
Alaves,Abdel Abqar,17,ma MAR,DF,es La Liga,25,1999,27.4,0,12,1,8.3,0.44,0.04,0.00,0.00,8.0,0,0,0,0.9,0.9,0.08,-0.9,-0.9,Abdel AbqarAlaves
Roma,Tammy Abraham,18,eng ENG,FW,it Serie A,26,1997,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Tammy AbrahamRoma
Milan,Tammy Abraham,19,eng ENG,FW,it Serie A,26,1997,13.1,3,26,11,42.3,1.98,0.84,0.08,0.18,13.4,0,1,2,7.1,5.4,0.21,-4.1,-3.4,Tammy AbrahamMilan
Genoa,Federico Accornero,20,it ITA,MF,it Serie A,20,2004,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Federico AccorneroGenoa
Inter,Francesco Acerbi,21,it ITA,DF,it Serie A,36,1988,19.0,0,5,1,20.0,0.26,0.05,0.00,0.00,11.5,0,0,0,0.4,0.4,0.08,-0.4,-0.4,Francesco AcerbiInter
Chelsea,Joshua Acheampong,22,eng ENG,DF,eng Premier League,18,2006,1.9,0,2,0,0.0,1.06,0.00,0.00,,8.9,0,0,0,0.2,0.2,0.11,-0.2,-0.2,Joshua AcheampongChelsea
Sevilla,Akor Adams,23,ng NGA,FW,es La Liga,24,2000,1.5,0,2,1,50.0,1.34,0.67,0.00,0.00,22.2,0,0,0,0.4,0.4,0.22,-0.4,-0.4,Akor AdamsSevilla
Montpellier,Akor Adams,24,ng NGA,FW,fr Ligue 1,24,2000,11.9,3,26,12,46.2,2.18,1.00,0.12,0.25,13.3,0,0,0,4.3,4.3,0.16,-1.3,-1.3,Akor AdamsMontpellier
Torino,Che Adams,25,sct SCO,FW,it Serie A,28,1996,29.5,9,63,25,39.7,2.14,0.85,0.14,0.36,15.7,0,0,1,9.0,8.2,0.13,0.0,+0.8,Che AdamsTorino
Bournemouth,Tyler Adams,26,us USA,MF,eng Premier League,25,1999,21.8,0,9,2,22.2,0.41,0.09,0.00,0.00,16.9,0,0,0,1.6,1.6,0.18,-1.6,-1.6,Tyler AdamsBournemouth
