Squad,Player,Rk,Nation,Pos,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,PlSqu
Valladolid,Mamadou Sylla,2536,sn SEN,"FW,MF",es La Liga,30,1994,17.6,5,0,0,16,32,13,9,3,4,2,0,0,35,41,58,41.4,Mamadou SyllaValladolid
Barcelona,Wojciech Szczesny,2537,pl POL,GK,es La Liga,34,1990,15.0,0,0,0,1,1,0,0,0,1,0,1,0,52,0,0,,Wojciech SzczesnyBarcelona
Ipswich Town,Sammie Szmodics,2538,ie IRL,"FW,MF",eng Premier League,28,1995,11.0,2,0,0,9,8,8,14,6,10,0,1,0,42,6,11,35.3,Sammie SzmodicsIpswich Town
Liverpool,Dominik Szoboszlai,2539,hu HUN,MF,eng Premier League,23,2000,27.7,6,0,0,44,24,4,41,9,20,0,0,0,133,19,23,45.2,Dominik SzoboszlaiLiverpool
Atletico Madrid,Alexander Sorloth,2540,no NOR,FW,es La Liga,28,1995,17.4,4,0,0,26,13,8,5,1,5,0,0,0,41,98,50,66.2,Alexander SorlothAtletico Madrid
Montpellier,Musa Al-Taamari,2541,jo JOR,"FW,MF",fr Ligue 1,27,1997,12.4,3,0,0,7,26,3,14,3,10,1,0,0,49,8,10,44.4,Musa Al-TaamariMontpellier
Rennes,Musa Al-Taamari,2542,jo JOR,"FW,MF",fr Ligue 1,27,1997,6.3,1,0,0,4,11,4,6,2,1,1,0,0,17,2,9,18.2,Musa Al-TaamariRennes
Hoffenheim,Haris Tabakovic,2543,ba BIH,FW,de Bundesliga,30,1994,9.1,0,0,0,15,8,11,4,1,1,0,0,0,13,45,37,54.9,Haris TabakovicHoffenheim
Lyon,Nicolas Tagliafico,2544,ar ARG,DF,fr Ligue 1,31,1992,21.1,7,0,0,41,27,1,37,36,37,2,0,0,102,25,26,49.0,Nicolas TagliaficoLyon
Leverkusen,Jonathan Tah,2545,de GER,DF,de Bundesliga,28,1996,33.0,3,0,0,16,5,0,6,36,12,0,0,0,165,77,23,77.0,Jonathan TahLeverkusen
Torino,Adrien Tameze,2546,cm CMR,"MF,DF",it Serie A,30,1994,7.2,3,0,0,8,4,0,9,10,2,0,1,0,25,11,8,57.9,Adrien TamezeTorino
Paris S-G,Axel Tape,2547,fr FRA,"DF,MF",fr Ligue 1,16,2007,2.0,1,0,0,2,3,0,0,1,1,0,0,0,11,1,4,20.0,Axel TapeParis S-G
Leganes,Renato Tapia,2548,pe PER,"MF,DF",es La Liga,29,1995,26.9,8,0,0,38,34,0,12,27,35,0,0,0,155,32,24,57.1,Renato TapiaLeganes
Leverkusen,Edmond Tapsoba,2549,bf BFA,DF,de Bundesliga,25,1999,27.9,4,0,0,34,6,1,8,24,24,0,1,1,124,54,32,62.8,Edmond TapsobaLeverkusen
Saint-Etienne,Florian Tardieu,2550,fr FRA,MF,fr Ligue 1,32,1992,13.9,0,0,0,10,14,1,24,15,14,0,1,0,83,14,8,63.6,Florian TardieuSaint-Etienne
Inter,Mehdi Taremi,2551,ir IRN,FW,it Serie A,32,1992,9.1,1,0,0,9,13,6,1,0,1,1,0,0,29,19,24,44.2,Mehdi TaremiInter
Newcastle Utd,Matt Targett,2552,eng ENG,DF,eng Premier League,28,1995,0.2,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,,Matt TargettNewcastle Utd
Le Havre,Oussama Targhalline,2553,ma MAR,MF,fr Ligue 1,22,2002,11.0,0,0,0,11,10,4,16,19,14,0,0,0,43,8,6,57.1,Oussama TarghallineLe Havre
Everton,James Tarkowski,2554,eng ENG,DF,eng Premier League,31,1992,32.5,6,0,0,35,28,2,1,41,40,0,1,0,98,102,33,75.6,James TarkowskiEverton
Valencia,Cesar Tarrega,2555,es ESP,DF,es La Liga,22,2002,33.6,7,0,0,56,15,0,1,22,37,0,2,2,104,87,62,58.4,Cesar TarregaValencia
Lazio,Nuno Tavares,2556,pt POR,DF,it Serie A,24,2000,18.7,4,1,1,18,30,1,126,21,21,0,1,0,104,11,11,50.0,Nuno TavaresLazio
Bournemouth,Marcus Tavernier,2557,eng ENG,"FW,MF",eng Premier League,25,1999,21.5,6,0,0,34,28,4,108,5,24,0,0,0,119,26,33,44.1,Marcus TavernierBournemouth
Southampton,Charlie Taylor,2558,eng ENG,DF,eng Premier League,30,1993,4.0,1,0,0,2,3,0,9,5,5,0,0,0,10,6,2,75.0,Charlie TaylorSouthampton
Ipswich Town,Jack Taylor,2559,ie IRL,MF,eng Premier League,26,1998,9.6,4,0,0,16,5,0,7,9,10,0,0,0,53,7,8,46.7,Jack TaylorIpswich Town
Lazio,Loum Tchaouna,2560,fr FRA,"FW,MF",it Serie A,20,2003,7.3,4,1,1,10,7,0,32,4,4,0,0,0,18,5,26,16.1,Loum TchaounaLazio
Hellas Verona,Jackson Tchatchoua,2561,cm CMR,"DF,MF",it Serie A,22,2001,35.2,7,1,0,26,11,8,118,14,31,0,1,0,121,30,34,46.9,Jackson TchatchouaHellas Verona
Montpellier,Enzo Tchato,2562,cm CMR,DF,fr Ligue 1,21,2002,21.1,3,0,0,21,16,2,77,22,26,0,0,0,60,19,12,61.3,Enzo TchatoMontpellier
Real Madrid,Aurelien Tchouameni,2563,fr FRA,"DF,MF",es La Liga,24,2000,29.9,5,0,0,26,24,0,12,46,23,0,1,0,143,74,27,73.3,Aurelien TchouameniReal Madrid
Espanyol,Alvaro Tejero,2564,es ESP,"MF,DF",es La Liga,28,1996,13.8,2,0,0,14,19,1,113,13,4,0,0,0,64,10,12,45.5,Alvaro TejeroEspanyol
Valencia,Martin Tejon,2565,es ESP,"MF,DF",es La Liga,20,2004,0.5,0,0,0,1,1,0,1,0,0,0,0,0,4,0,3,0.0,Martin TejonValencia
Tottenham,Mathys Tel,2566,fr FRA,FW,eng Premier League,19,2005,10.1,2,0,0,14,16,1,35,2,6,1,0,0,37,4,7,36.4,Mathys TelTottenham
Bayern Munich,Mathys Tel,2567,fr FRA,"FW,MF",de Bundesliga,19,2005,2.8,0,0,0,5,6,1,5,1,2,0,0,0,10,1,0,100.0,Mathys TelBayern Munich
Leverkusen,Nathan Tella,2568,ng NGA,"MF,FW",de Bundesliga,25,1999,15.1,1,0,0,22,32,10,25,4,11,0,0,0,37,11,25,30.6,Nathan TellaLeverkusen
Alaves,Nahuel Tenaglia,2569,ar ARG,DF,es La Liga,28,1996,32.5,11,0,0,37,45,2,85,47,61,3,0,0,117,46,52,46.9,Nahuel TenagliaAlaves
Paris S-G,Arnau Tenas,2570,es ESP,GK,fr Ligue 1,23,2001,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,100.0,Arnau TenasParis S-G
Hellas Verona,Casper Tengstedt,2571,dk DEN,FW,it Serie A,24,2000,16.9,2,0,0,6,9,6,10,4,5,0,0,0,37,20,61,24.7,Casper TengstedtHellas Verona
Barcelona,Marc-Andre ter Stegen,2572,de GER,GK,es La Liga,32,1992,7.5,0,0,0,0,2,0,0,0,0,0,0,0,14,1,0,100.0,Marc-Andre ter StegenBarcelona
Milan,Filippo Terracciano,2573,it ITA,"DF,MF",it Serie A,21,2003,6.0,3,0,0,11,9,1,3,6,6,0,0,0,21,10,5,66.7,Filippo TerraccianoMilan
Fiorentina,Pietro Terracciano,2574,it ITA,GK,it Serie A,34,1990,3.0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,,Pietro TerraccianoFiorentina
Villarreal,Ramon Terrats,2575,es ESP,"MF,FW",es La Liga,23,2000,1.5,1,0,0,2,2,0,5,2,3,0,0,0,11,3,2,60.0,Ramon TerratsVillarreal
Getafe,Ramon Terrats,2576,es ESP,"MF,FW",es La Liga,23,2000,13.5,1,0,0,13,22,4,35,8,10,0,0,0,53,14,13,51.9,Ramon TerratsGetafe
Leverkusen,Martin Terrier,2577,fr FRA,"MF,FW",de Bundesliga,27,1997,6.5,1,0,0,2,9,2,5,1,2,0,0,0,8,11,13,45.8,Martin TerrierLeverkusen
Lyon,Tanner Tessmann,2578,us USA,MF,fr Ligue 1,22,2001,13.7,3,0,0,14,14,0,14,19,15,0,0,0,63,4,19,17.4,Tanner TessmannLyon
Fulham,Kenny Tete,2579,nl NED,DF,eng Premier League,28,1995,19.7,5,0,0,35,16,1,38,32,38,0,0,0,74,24,22,52.2,Kenny TeteFulham
Reims,Teddy Teuma,2580,mt MLT,MF,fr Ligue 1,30,1993,8.3,1,0,0,11,7,2,44,12,10,0,0,0,42,4,8,33.3,Teddy TeumaReims
Monaco,Jordan Teze,2581,nl NED,DF,fr Ligue 1,24,1999,6.3,2,1,0,10,3,1,12,6,9,0,0,0,29,7,8,46.7,Jordan TezeMonaco
Udinese,Florian Thauvin,2582,fr FRA,"FW,MF",it Serie A,31,1993,21.7,0,0,0,10,27,3,168,7,14,0,0,0,68,5,10,33.3,Florian ThauvinUdinese
Eint Frankfurt,Arthur Theate,2583,be BEL,DF,de Bundesliga,24,2000,30.0,6,1,1,14,23,1,26,39,25,0,0,0,123,54,44,55.1,Arthur TheateEint Frankfurt
Heidenheim,Norman Theuerkauf,2584,de GER,MF,de Bundesliga,37,1987,0.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Norman TheuerkaufHeidenheim
Brentford,Thiago,2585,br BRA,"FW,MF",eng Premier League,23,2001,1.9,0,0,0,3,3,1,2,2,3,0,0,0,12,7,5,58.3,ThiagoBrentford
Milan,Malick Thiaw,2586,de GER,DF,it Serie A,22,2001,20.1,2,0,0,24,6,1,3,15,17,0,0,3,65,49,27,64.5,Malick ThiawMilan
Heidenheim,Denis Thomalla,2587,de GER,MF,de Bundesliga,31,1992,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Denis ThomallaHeidenheim
Leicester City,Luke Thomas,2588,eng ENG,DF,eng Premier League,23,2001,12.3,3,0,0,16,10,0,29,21,25,0,1,0,42,13,11,54.2,Luke ThomasLeicester City
Nantes,Sorba Thomas,2589,wls WAL,"FW,MF",fr Ligue 1,24,1999,14.7,3,0,0,13,17,2,130,9,6,0,0,0,66,7,17,29.2,Sorba ThomasNantes
Lens,Adrien Thomasson,2590,fr FRA,MF,fr Ligue 1,30,1993,29.1,7,0,0,51,48,7,58,19,47,0,1,0,206,17,45,27.4,Adrien ThomassonLens
Genoa,Morten Thorsby,2591,no NOR,"MF,FW",it Serie A,28,1996,21.1,6,0,0,53,15,9,9,5,30,0,2,1,51,107,99,51.9,Morten ThorsbyGenoa
Juventus,Khephren Thuram,2592,fr FRA,MF,it Serie A,23,2001,25.8,5,0,0,36,22,0,13,14,21,0,0,0,110,28,29,49.1,Khephren ThuramJuventus
Inter,Marcus Thuram,2593,fr FRA,FW,it Serie A,26,1997,25.4,1,0,0,30,36,13,13,3,10,2,0,0,71,45,34,57.0,Marcus ThuramInter
