League,Squad,Player,Rk,Nation,Pos,Comp,Age,Born,90s,SCA,SCA90,PassLive_SCA,PassDead_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA,GCA90,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,PlSqu
Big5,Unknown Squad,Carlos Alcaraz,78,ar ARG,MF,eng Premier League,21,2002,0.1,1,9.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Carlos AlcarazUnknown Squad
Big5,Unknown Squad,Carlos Alcaraz,79,ar ARG,"FW,MF",eng Premier League,21,2002,8.5,33,3.89,24,2,3,3,1,0,6,0.71,5,0,0,1,0,0,Carlos AlcarazUnknown Squad
Big5,Unknown Squad,Omar Alderete,80,py PAR,DF,es La Liga,27,1996,33.0,37,1.12,28,1,1,5,1,1,4,0.12,2,0,0,1,1,0,Omar AldereteUnknown Squad
Big5,Unknown Squad,Carles Alena,81,es ESP,"MF,FW",es La Liga,26,1998,5.0,8,1.60,7,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Carles AlenaUnknown Squad
Big5,Unknown Squad,Carles Alena,82,es ESP,"MF,FW",es La Liga,26,1998,12.1,44,3.64,27,7,3,3,4,0,4,0.33,2,1,0,0,1,0,Carles AlenaUnknown Squad
Big5,Unknown Squad,Ben Alexander Voll,83,de GER,GK,de Bundesliga,23,2000,1.0,1,0.99,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Ben Alexander VollUnknown Squad
Big5,Unknown Squad,Trent Alexander-Arnold,84,eng ENG,DF,eng Premier League,25,1998,26.3,98,3.73,74,15,5,4,0,0,10,0.38,9,1,0,0,0,0,Trent Alexander-ArnoldUnknown Squad
Big5,Unknown Squad,Alfon,85,es ESP,"FW,MF",es La Liga,25,1999,15.2,59,3.87,32,0,12,9,6,0,7,0.46,4,0,0,2,1,0,AlfonUnknown Squad
Big5,Unknown Squad,Mohamed Ali Cho,86,fr FRA,"FW,MF",fr Ligue 1,20,2004,18.0,59,3.28,45,3,5,1,5,0,11,0.61,8,0,1,1,1,0,Mohamed Ali ChoUnknown Squad
Big5,Unknown Squad,Faride Alidou,87,de GER,"FW,MF",it Serie A,23,2001,0.8,2,2.54,1,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Faride AlidouUnknown Squad
