Squad,Player,Rk,Nation,Pos,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,PlSqu
Arsenal,Nathan Butler-Oyedeji,425,eng ENG,FW,eng Premier League,21,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nathan Butler-OyedejiArsenal
Nice,Marcin Bulka,426,pl POL,GK,fr Ligue 1,24,1999,34.0,1110,878,232,70,0,0,0,0,0,0,0,0,898,0,1,Marcin BulkaNice
Villarreal,Pau Cabanes,427,es ESP,"MF,FW",es La Liga,19,2005,1.8,84,83,1,0,1,0,6,0,1,0,0,0,60,0,4,Pau CabanesVillarreal
Alaves,Pau Cabanes,428,es ESP,"MF,FW",es La Liga,19,2005,2.1,84,79,4,1,0,0,12,3,0,0,0,0,59,1,4,Pau CabanesAlaves
Lille,Remy Cabella,429,fr FRA,"FW,MF",fr Ligue 1,34,1990,11.2,762,685,72,19,0,0,60,14,34,4,18,0,628,5,9,Remy CabellaLille
Espanyol,Leandro Cabrera,430,uy URU,DF,es La Liga,33,1991,31.9,1442,1274,157,58,1,16,17,12,0,0,0,0,1084,11,13,Leandro CabreraEspanyol
Empoli,Liberato Cacace,431,nz NZL,"MF,DF",it Serie A,23,2000,24.8,912,730,176,25,1,5,102,67,54,16,22,0,619,6,32,Liberato CacaceEmpoli
Torino,Alessio Cacciamani,432,it ITA,"MF,DF",it Serie A,17,2007,0.3,15,15,0,0,0,0,3,0,0,0,0,0,12,0,2,Alessio CacciamaniTorino
Mainz 05,Anthony Caci,433,fr FRA,DF,de Bundesliga,27,1997,29.8,1655,1345,302,26,6,11,133,256,20,7,8,1,1188,8,61,Anthony CaciMainz 05
Saint-Etienne,Mathieu Cafaro,434,fr FRA,"MF,FW",fr Ligue 1,27,1997,8.1,239,210,29,6,2,1,27,6,17,5,8,0,172,0,5,Mathieu CafaroSaint-Etienne
Chelsea,Moises Caicedo,435,ec ECU,"MF,DF",eng Premier League,22,2001,37.2,2194,2116,74,47,12,13,10,27,0,0,0,0,1967,4,20,Moises CaicedoChelsea
Fulham,Tom Cairney,436,sct SCO,MF,eng Premier League,33,1991,7.0,627,602,25,11,0,2,20,1,8,3,3,0,569,0,8,Tom CairneyFulham
Ipswich Town,Jens Cajuste,437,se SWE,MF,eng Premier League,24,1999,21.8,783,719,64,23,1,5,10,41,0,0,0,0,647,0,12,Jens CajusteIpswich Town
Bologna,Davide Calabria,438,it ITA,DF,it Serie A,27,1996,7.0,429,348,80,16,1,1,17,64,0,0,0,0,354,1,8,Davide CalabriaBologna
Milan,Davide Calabria,439,it ITA,DF,it Serie A,27,1996,3.5,223,204,19,5,1,1,16,14,0,0,0,0,193,0,5,Davide CalabriaMilan
Arsenal,Riccardo Calafiori,440,it ITA,DF,eng Premier League,22,2002,10.9,549,483,65,7,0,2,11,58,0,0,0,0,470,1,11,Riccardo CalafioriArsenal
Monza,Luca Caldirola,441,it ITA,DF,it Serie A,33,1991,9.7,615,567,48,29,0,0,1,2,0,0,0,0,556,0,2,Luca CaldirolaMonza
Espanyol,Fernando Calero,442,es ESP,"DF,MF",es La Liga,28,1995,7.9,381,362,18,9,0,4,2,4,0,0,0,0,325,1,2,Fernando CaleroEspanyol
Lyon,Duje Caleta-Car,443,hr CRO,DF,fr Ligue 1,27,1996,17.6,985,939,45,28,1,3,1,3,0,0,0,0,896,1,5,Duje Caleta-CarLyon
Inter,Hakan Calhanoglu,444,tr TUR,MF,it Serie A,30,1994,21.6,1690,1532,155,62,7,17,122,4,88,30,47,1,1464,3,12,Hakan CalhanogluInter
