Squad,Player,Rk,Nation,Pos,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,PlSqu
Genoa,David Akpan Ankeye,71,ng NGA,"FW,MF",it Serie A,22,2002,0.5,9,1,2,3,4,0,9,1,1,100.0,0,0.0,6,54,8,0,1,0,0,2,10,3,David Akpan AnkeyeGenoa
Hoffenheim,Kevin Akpoguma,72,ng NGA,DF,de Bundesliga,29,1995,24.7,1692,227,759,830,115,5,1692,15,8,53.3,6,40.0,892,3929,1772,14,15,0,11,9,1025,16,Kevin AkpogumaHoffenheim
Lille,Chuba Akpom,73,eng ENG,FW,fr Ligue 1,28,1995,7.1,165,4,13,76,79,30,163,9,4,44.4,4,44.4,80,422,192,6,4,2,12,5,113,38,Chuba AkpomLille
Real Madrid,David Alaba,74,at AUT,DF,es La Liga,32,1992,3.5,247,36,137,100,11,2,247,0,0,,0,,180,934,482,2,1,0,1,0,199,4,David AlabaReal Madrid
Valladolid,Ibrahim Alani,75,ng NGA,MF,es La Liga,18,2006,1.8,113,8,36,74,4,0,113,1,1,100.0,0,0.0,54,305,130,2,0,0,1,2,65,1,Ibrahim AlaniValladolid
St. Pauli,Andreas Albers,76,dk DEN,FW,de Bundesliga,34,1990,0.7,44,0,2,17,26,8,44,3,2,66.7,0,0.0,24,129,18,1,0,0,4,6,40,6,Andreas AlbersSt. Pauli
Villarreal,Raul Albiol,77,es ESP,DF,es La Liga,38,1985,13.2,915,157,533,369,14,3,915,0,0,,0,,514,2346,1226,3,1,0,3,1,652,0,Raul AlbiolVillarreal
Southampton,Carlos Alcaraz,78,ar ARG,MF,eng Premier League,21,2002,0.1,17,0,1,8,9,2,17,2,0,0.0,2,100.0,12,112,98,4,1,0,0,0,12,1,Carlos AlcarazSouthampton
Everton,Carlos Alcaraz,79,ar ARG,"FW,MF",eng Premier League,21,2002,8.5,378,15,63,168,156,19,378,18,9,50.0,7,38.9,211,1331,707,19,21,2,14,13,247,21,Carlos AlcarazEverton
Getafe,Omar Alderete,80,py PAR,DF,es La Liga,27,1996,33.0,1585,192,681,796,122,39,1585,28,18,64.3,10,35.7,633,4014,2546,25,20,2,30,9,658,7,Omar AldereteGetafe
Getafe,Carles Alena,81,es ESP,"MF,FW",es La Liga,26,1998,5.0,163,5,26,84,56,10,163,4,3,75.0,1,25.0,88,427,169,3,2,1,3,6,98,10,Carles AlenaGetafe
Alaves,Carles Alena,82,es ESP,"MF,FW",es La Liga,26,1998,12.1,590,2,63,290,243,22,590,24,12,50.0,5,20.8,330,1428,671,18,25,2,23,14,409,43,Carles AlenaAlaves
St. Pauli,Ben Alexander Voll,83,de GER,GK,de Bundesliga,23,2000,1.0,52,46,52,0,0,0,52,0,0,,0,,33,185,120,0,0,0,0,0,23,0,Ben Alexander VollSt. Pauli
