League,Squad,Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,PlSqu
EFL Championship,Sheffield United,Anis Ben Slimane,tn TUN,MF,23.0,0.5,27.0,26.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,22.0,0.0,0.0,Anis Ben SlimaneSheffield United
EFL Championship,Sheffield United,Jamal Baptiste,eng ENG,DF,20.0,0.1,3.0,2.0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,Jamal BaptisteSheffield United
EFL Championship,Sheffield United,Billy Blacker,eng ENG,MF,18.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Billy BlackerSheffield United
EFL Championship,Sheffield United,Sai Sachdev,eng ENG,DF,19.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Sai SachdevSheffield United
EFL Championship,Sheffield United,Opponent Total,,,26.0,46.0,20540.0,18301.0,2164.0,556.0,29.0,124.0,847,948.0,229.0,121.0,78.0,1.0,15927.0,75.0,402.0,Opponent TotalSheffield United
EFL Championship,Burnley,Maxime Esteve,fr FRA,DF,22.0,45.1,3089.0,2956.0,128.0,68.0,1.0,20.0,5,4.0,0.0,0.0,0.0,0.0,2789.0,5.0,16.0,Maxime EsteveBurnley
EFL Championship,Burnley,James Trafford,eng ENG,GK,21.0,45.0,1745.0,1354.0,384.0,138.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,1279.0,7.0,0.0,James TraffordBurnley
EFL Championship,Burnley,Josh Cullen,ie IRL,MF,28.0,42.2,2820.0,2720.0,91.0,78.0,6.0,10.0,38,5.0,8.0,3.0,4.0,0.0,2475.0,9.0,22.0,Josh CullenBurnley
EFL Championship,Burnley,Jaidon Anthony,eng ENG,"FW,MF",24.0,40.7,1646.0,1446.0,194.0,42.0,3.0,24.0,251,33.0,117.0,42.0,32.0,1.0,1171.0,6.0,46.0,Jaidon AnthonyBurnley
EFL Championship,Burnley,Connor Roberts,wls WAL,DF,28.0,40.4,2609.0,2180.0,424.0,79.0,3.0,16.0,77,335.0,10.0,2.0,2.0,0.0,2157.0,5.0,26.0,Connor RobertsBurnley
EFL Championship,Burnley,CJ Egan-Riley,eng ENG,DF,21.0,40.0,2852.0,2760.0,89.0,75.0,3.0,41.0,3,11.0,0.0,0.0,0.0,0.0,2459.0,3.0,12.0,CJ Egan-RileyBurnley
EFL Championship,Burnley,Josh Brownhill,eng ENG,"MF,FW",28.0,38.6,1725.0,1597.0,119.0,53.0,3.0,9.0,55,23.0,24.0,14.0,3.0,0.0,1372.0,9.0,39.0,Josh BrownhillBurnley
EFL Championship,Burnley,Lucas,br BRA,DF,23.0,31.0,1887.0,1495.0,387.0,40.0,4.0,2.0,109,301.0,46.0,18.0,17.0,0.0,1512.0,5.0,35.0,LucasBurnley
EFL Championship,Burnley,Zian Flemming,nl NED,FW,25.0,26.9,404.0,394.0,8.0,2.0,0.0,1.0,9,1.0,0.0,0.0,0.0,0.0,278.0,2.0,9.0,Zian FlemmingBurnley
EFL Championship,Burnley,Josh Laurent,eng ENG,MF,29.0,27.2,1098.0,1079.0,18.0,11.0,4.0,3.0,17,7.0,0.0,0.0,0.0,0.0,862.0,1.0,19.0,Josh LaurentBurnley
EFL Championship,Burnley,Hannibal Mejbri,tn TUN,"MF,FW",21.0,21.4,853.0,801.0,51.0,7.0,5.0,6.0,42,8.0,12.0,2.0,5.0,1.0,690.0,1.0,28.0,Hannibal MejbriBurnley
EFL Championship,Burnley,Bashir Humphreys,eng ENG,DF,21.0,19.7,1175.0,977.0,196.0,22.0,0.0,4.0,25,172.0,2.0,2.0,0.0,0.0,995.0,2.0,14.0,Bashir HumphreysBurnley
EFL Championship,Burnley,Luca Koleosho,it ITA,"FW,MF",19.0,18.6,618.0,600.0,16.0,2.0,0.0,5.0,74,13.0,1.0,0.0,0.0,0.0,449.0,2.0,25.0,Luca KoleoshoBurnley
EFL Championship,Burnley,Lyle Foster,za RSA,FW,23.0,17.7,424.0,419.0,4.0,1.0,0.0,4.0,5,1.0,0.0,0.0,0.0,0.0,323.0,1.0,10.0,Lyle FosterBurnley
EFL Championship,Burnley,Marcus Edwards,eng ENG,"FW,MF",25.0,10.4,378.0,354.0,21.0,6.0,3.0,2.0,25,1.0,14.0,7.0,0.0,0.0,296.0,3.0,15.0,Marcus EdwardsBurnley
EFL Championship,Burnley,Jeremy Sarmiento,ec ECU,"FW,MF",22.0,13.0,373.0,356.0,16.0,4.0,3.0,4.0,17,4.0,5.0,0.0,3.0,0.0,297.0,1.0,10.0,Jeremy SarmientoBurnley
EFL Championship,Burnley,Jay Rodriguez,eng ENG,FW,35.0,8.3,165.0,157.0,7.0,1.0,0.0,3.0,2,1.0,0.0,0.0,0.0,0.0,115.0,1.0,4.0,Jay RodriguezBurnley
EFL Championship,Burnley,Joe Worrall,eng ENG,DF,27.0,3.2,247.0,241.0,6.0,3.0,0.0,3.0,0,2.0,0.0,0.0,0.0,0.0,215.0,0.0,1.0,Joe WorrallBurnley
EFL Championship,Burnley,Vitinho,br BRA,"MF,FW",25.0,2.6,66.0,63.0,2.0,0.0,2.0,0.0,5,2.0,0.0,0.0,0.0,0.0,47.0,1.0,5.0,VitinhoBurnley
EFL Championship,Burnley,Andreas Hountondji,bj BEN,"FW,MF",22.0,2.3,29.0,28.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,1.0,Andreas HountondjiBurnley
EFL Championship,Burnley,Dara O'Shea,ie IRL,DF,25.0,2.0,108.0,106.0,2.0,2.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,94.0,0.0,2.0,Dara O'SheaBurnley
EFL Championship,Burnley,John Egan,ie IRL,DF,31.0,1.8,82.0,79.0,3.0,3.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,1.0,John EganBurnley
EFL Championship,Burnley,Ashley Barnes,eng ENG,"FW,MF",34.0,1.5,32.0,31.0,1.0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,17.0,0.0,3.0,Ashley BarnesBurnley
EFL Championship,Burnley,Han-Noah Massengo,fr FRA,MF,23.0,1.1,56.0,55.0,1.0,1.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,48.0,0.0,1.0,Han-Noah MassengoBurnley
EFL Championship,Burnley,Vaclav Hladky,cz CZE,GK,33.0,1.0,38.0,32.0,6.0,3.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,Vaclav HladkyBurnley
EFL Championship,Burnley,Wilson Odobert,fr FRA,MF,19.0,1.0,20.0,19.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,1.0,Wilson OdobertBurnley
EFL Championship,Burnley,Enock Agyei,be BEL,"FW,MF",19.0,0.6,29.0,28.0,1.0,0.0,1.0,1.0,3,0.0,1.0,1.0,0.0,0.0,22.0,0.0,1.0,Enock AgyeiBurnley
EFL Championship,Burnley,Benson Manuel,ao ANG,"MF,FW",27.0,0.5,36.0,34.0,2.0,0.0,0.0,0.0,4,1.0,1.0,0.0,0.0,0.0,31.0,0.0,1.0,Benson ManuelBurnley
EFL Championship,Burnley,Zeki Amdouni,ch SUI,MF,23.0,0.4,19.0,18.0,1.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,Zeki AmdouniBurnley
EFL Championship,Burnley,Oliver Sonne,pe PER,DF,23.0,0.3,18.0,16.0,2.0,1.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,Oliver SonneBurnley
EFL Championship,Burnley,Wout Weghorst,nl NED,FW,31.0,0.3,5.0,5.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,Wout WeghorstBurnley
EFL Championship,Burnley,Anass Zaroury,ma MAR,"FW,MF",23.0,0.3,10.0,8.0,1.0,0.0,0.0,0.0,2,0.0,1.0,0.0,1.0,0.0,5.0,1.0,1.0,Anass ZarouryBurnley
EFL Championship,Burnley,Shurandy Sambo,nl NED,MF,22.0,0.2,10.0,10.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,Shurandy SamboBurnley
EFL Championship,Burnley,Johann Berg Gudmundsson,is ISL,MF,33.0,0.2,10.0,10.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,Johann Berg GudmundssonBurnley
EFL Championship,Burnley,Nathan Redmond,eng ENG,FW,30.0,0.2,8.0,8.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,Nathan RedmondBurnley
EFL Championship,Burnley,Jonjo Shelvey,eng ENG,"MF,FW",32.0,0.1,13.0,12.0,1.0,1.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,Jonjo ShelveyBurnley
EFL Championship,Burnley,Aaron Ramsey,eng ENG,MF,21.0,0.1,5.0,5.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,Aaron RamseyBurnley
EFL Championship,Burnley,Luke McNally,ie IRL,"DF,MF",24.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Luke McNallyBurnley
EFL Championship,Burnley,Opponent Total,,,25.6,46.0,19051.0,16797.0,2122.0,574.0,56.0,80.0,682,923.0,174.0,83.0,62.0,0.0,14626.0,132.0,347.0,Opponent TotalBurnley
EFL Championship,Sunderland,Luke O'Nien,eng ENG,DF,29.0,43.7,2813.0,2585.0,218.0,115.0,3.0,33.0,19,65.0,1.0,1.0,0.0,0.0,2428.0,10.0,33.0,Luke O'NienSunderland
EFL Championship,Sunderland,Dan Neil,eng ENG,MF,22.0,43.1,1945.0,1827.0,110.0,40.0,5.0,12.0,13,3.0,1.0,0.0,0.0,0.0,1616.0,8.0,39.0,Dan NeilSunderland
EFL Championship,Sunderland,Trai Hume,nir NIR,DF,22.0,42.3,2481.0,2014.0,463.0,86.0,5.0,9.0,139,357.0,20.0,14.0,3.0,0.0,1898.0,4.0,75.0,Trai HumeSunderland
EFL Championship,Sunderland,Anthony Patterson,eng ENG,GK,24.0,42.0,1499.0,1136.0,359.0,86.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,1084.0,4.0,2.0,Anthony PattersonSunderland
EFL Championship,Sunderland,Jobe Bellingham,eng ENG,MF,18.0,39.0,1591.0,1556.0,33.0,30.0,7.0,8.0,10,1.0,0.0,0.0,0.0,0.0,1363.0,2.0,17.0,Jobe BellinghamSunderland
EFL Championship,Sunderland,Patrick Roberts,eng ENG,"FW,MF",27.0,36.4,1426.0,1249.0,165.0,42.0,9.0,8.0,177,31.0,92.0,57.0,15.0,1.0,1058.0,12.0,46.0,Patrick RobertsSunderland
EFL Championship,Sunderland,Chris Mepham,wls WAL,DF,26.0,36.4,2003.0,1891.0,104.0,76.0,3.0,14.0,0,19.0,0.0,0.0,0.0,0.0,1736.0,8.0,9.0,Chris MephamSunderland
EFL Championship,Sunderland,Chris Rigg,eng ENG,"MF,FW",17.0,33.9,1074.0,1032.0,35.0,11.0,1.0,11.0,68,3.0,19.0,12.0,4.0,0.0,803.0,7.0,33.0,Chris RiggSunderland
EFL Championship,Sunderland,Wilson Isidor,fr FRA,FW,23.0,34.6,336.0,323.0,12.0,0.0,1.0,2.0,16,1.0,0.0,0.0,0.0,0.0,226.0,1.0,16.0,Wilson IsidorSunderland
EFL Championship,Sunderland,Dennis Cirkin,eng ENG,DF,22.0,30.4,1389.0,1104.0,283.0,31.0,0.0,0.0,55,252.0,0.0,0.0,0.0,0.0,1073.0,2.0,39.0,Dennis CirkinSunderland
EFL Championship,Sunderland,Eliezer Mayenda,es ESP,"FW,MF",19.0,23.9,262.0,256.0,5.0,1.0,3.0,2.0,18,1.0,0.0,0.0,0.0,0.0,179.0,1.0,15.0,Eliezer MayendaSunderland
EFL Championship,Sunderland,Romaine Mundle,eng ENG,"FW,MF",21.0,15.9,503.0,448.0,54.0,15.0,0.0,4.0,81,13.0,26.0,14.0,2.0,0.0,369.0,1.0,18.0,Romaine MundleSunderland
EFL Championship,Sunderland,Alan Browne,ie IRL,"MF,DF",29.0,13.5,495.0,431.0,60.0,12.0,1.0,1.0,24,40.0,7.0,3.0,3.0,0.0,383.0,4.0,13.0,Alan BrowneSunderland
EFL Championship,Sunderland,Daniel Ballard,nir NIR,DF,24.0,12.5,759.0,737.0,19.0,15.0,1.0,4.0,0,1.0,0.0,0.0,0.0,0.0,665.0,3.0,5.0,Daniel BallardSunderland
EFL Championship,Sunderland,Enzo Le Fee,fr FRA,"FW,MF",24.0,11.1,589.0,518.0,69.0,17.0,6.0,2.0,62,16.0,36.0,24.0,4.0,0.0,453.0,2.0,15.0,Enzo Le FeeSunderland
EFL Championship,Sunderland,Tom Watson,eng ENG,"FW,MF",18.0,9.9,285.0,253.0,31.0,6.0,0.0,1.0,55,4.0,21.0,10.0,1.0,0.0,194.0,1.0,16.0,Tom WatsonSunderland
EFL Championship,Sunderland,Ajibola Alese,eng ENG,DF,23.0,7.8,350.0,293.0,56.0,11.0,0.0,0.0,10,42.0,0.0,0.0,0.0,0.0,279.0,1.0,6.0,Ajibola AleseSunderland
