League,Squad,Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,PlSqu
EFL Championship,Burnley,Josh Laurent,eng ENG,MF,29.0,27.2,2,26,7,26.9,0.95,0.26,0.08,0.29,17.0,0.0,0,0,3.1,3.1,0.12,-1.1,-1.1,Josh LaurentBurnley
EFL Championship,Burnley,Hannibal Mejbri,tn TUN,"MF,FW",21.0,21.4,1,33,5,15.2,1.54,0.23,0.03,0.2,18.6,3.0,0,0,2.6,2.6,0.08,-1.6,-1.6,Hannibal MejbriBurnley
EFL Championship,Burnley,Bashir Humphreys,eng ENG,DF,21.0,19.7,1,11,3,27.3,0.56,0.15,0.09,0.33,14.3,0.0,0,0,0.6,0.6,0.05,0.4,0.4,Bashir HumphreysBurnley
EFL Championship,Burnley,Luca Koleosho,it ITA,"FW,MF",19.0,18.6,2,29,10,34.5,1.56,0.54,0.07,0.2,17.5,0.0,0,0,1.9,1.9,0.07,0.1,0.1,Luca KoleoshoBurnley
EFL Championship,Burnley,Lyle Foster,za RSA,FW,23.0,17.7,2,39,13,33.3,2.21,0.74,0.05,0.15,13.4,1.0,0,0,4.4,4.4,0.11,-2.4,-2.4,Lyle FosterBurnley
EFL Championship,Burnley,Marcus Edwards,eng ENG,"FW,MF",25.0,10.4,1,18,5,27.8,1.73,0.48,0.06,0.2,16.0,0.0,0,0,1.7,1.7,0.09,-0.7,-0.7,Marcus EdwardsBurnley
EFL Championship,Burnley,Jeremy Sarmiento,ec ECU,"FW,MF",22.0,13.0,4,27,11,40.7,2.08,0.85,0.15,0.36,18.0,0.0,0,0,3.0,3.0,0.11,1.0,1.0,Jeremy SarmientoBurnley
EFL Championship,Burnley,Jay Rodriguez,eng ENG,FW,35.0,8.3,2,12,2,16.7,1.45,0.24,0.08,0.5,14.6,0.0,1,1,2.5,1.7,0.14,-0.5,-0.7,Jay RodriguezBurnley
EFL Championship,Burnley,Joe Worrall,eng ENG,DF,27.0,3.2,0,2,0,0.0,0.63,0.0,0.0,,6.3,0.0,0,0,0.3,0.3,0.14,-0.3,-0.3,Joe WorrallBurnley
EFL Championship,Burnley,Vitinho,br BRA,"MF,FW",25.0,2.6,1,4,1,25.0,1.53,0.38,0.25,1.0,13.8,0.0,0,0,0.4,0.4,0.09,0.6,0.6,VitinhoBurnley
EFL Championship,Burnley,Andreas Hountondji,bj BEN,"FW,MF",22.0,2.3,0,8,1,12.5,3.44,0.43,0.0,0.0,20.7,0.0,0,0,0.9,0.9,0.11,-0.9,-0.9,Andreas HountondjiBurnley
EFL Championship,Burnley,Dara O'Shea,ie IRL,DF,25.0,2.0,1,4,2,50.0,2.0,1.0,0.25,0.5,15.5,0.0,0,0,0.1,0.1,0.03,0.9,0.9,Dara O'SheaBurnley
EFL Championship,Burnley,John Egan,ie IRL,DF,31.0,1.8,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,John EganBurnley
EFL Championship,Burnley,Ashley Barnes,eng ENG,"FW,MF",34.0,1.5,1,3,1,33.3,2.01,0.67,0.33,1.0,12.9,0.0,0,0,0.9,0.9,0.3,0.1,0.1,Ashley BarnesBurnley
EFL Championship,Burnley,Han-Noah Massengo,fr FRA,MF,23.0,1.1,0,1,0,0.0,0.93,0.0,0.0,,6.0,0.0,0,0,0.2,0.2,0.24,-0.2,-0.2,Han-Noah MassengoBurnley
EFL Championship,Burnley,Vaclav Hladky,cz CZE,GK,33.0,1.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Vaclav HladkyBurnley
EFL Championship,Burnley,Wilson Odobert,fr FRA,MF,19.0,1.0,1,3,1,33.3,3.03,1.01,0.33,1.0,12.2,0.0,0,0,0.6,0.6,0.19,0.4,0.4,Wilson OdobertBurnley
EFL Championship,Burnley,Enock Agyei,be BEL,"FW,MF",19.0,0.6,0,2,0,0.0,3.1,0.0,0.0,,19.8,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1,Enock AgyeiBurnley
EFL Championship,Burnley,Benson Manuel,ao ANG,"MF,FW",27.0,0.5,1,4,1,25.0,7.83,1.96,0.25,1.0,25.5,1.0,0,0,0.1,0.1,0.03,0.9,0.9,Benson ManuelBurnley
EFL Championship,Burnley,Zeki Amdouni,ch SUI,MF,23.0,0.4,1,1,1,100.0,2.57,2.57,1.0,1.0,30.7,0.0,0,0,0.0,0.0,0.03,1.0,1.0,Zeki AmdouniBurnley
EFL Championship,Burnley,Oliver Sonne,pe PER,DF,23.0,0.3,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Oliver SonneBurnley
EFL Championship,Burnley,Wout Weghorst,nl NED,FW,31.0,0.3,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Wout WeghorstBurnley
EFL Championship,Burnley,Anass Zaroury,ma MAR,"FW,MF",23.0,0.3,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Anass ZarouryBurnley
EFL Championship,Burnley,Shurandy Sambo,nl NED,MF,22.0,0.2,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Shurandy SamboBurnley
EFL Championship,Burnley,Johann Berg Gudmundsson,is ISL,MF,33.0,0.2,1,1,1,100.0,5.63,5.63,1.0,1.0,23.9,0.0,0,0,0.1,0.1,0.09,0.9,0.9,Johann Berg GudmundssonBurnley
EFL Championship,Burnley,Nathan Redmond,eng ENG,FW,30.0,0.2,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Nathan RedmondBurnley
EFL Championship,Burnley,Jonjo Shelvey,eng ENG,"MF,FW",32.0,0.1,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Jonjo ShelveyBurnley
EFL Championship,Burnley,Aaron Ramsey,eng ENG,MF,21.0,0.1,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Aaron RamseyBurnley
EFL Championship,Burnley,Luke McNally,ie IRL,"DF,MF",24.0,0.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Luke McNallyBurnley
EFL Championship,Burnley,Opponent Total,,,25.6,46.0,16,430,105,24.4,9.35,2.28,0.04,0.15,17.0,7.0,0,2,39.1,37.5,0.09,-23.1,-21.5,Opponent TotalBurnley
EFL Championship,Sunderland,Luke O'Nien,eng ENG,DF,29.0,43.7,3,16,5,31.3,0.37,0.11,0.19,0.6,17.1,0.0,0,1,3.3,2.5,0.16,-0.3,0.5,Luke O'NienSunderland
EFL Championship,Sunderland,Dan Neil,eng ENG,MF,22.0,43.1,2,24,5,20.8,0.56,0.12,0.08,0.4,23.7,0.0,0,0,0.8,0.8,0.03,1.2,1.2,Dan NeilSunderland
EFL Championship,Sunderland,Trai Hume,nir NIR,DF,22.0,42.3,3,29,9,31.0,0.69,0.21,0.1,0.33,17.9,1.0,0,0,2.0,2.0,0.07,1.0,1.0,Trai HumeSunderland
EFL Championship,Sunderland,Anthony Patterson,eng ENG,GK,24.0,42.0,0,1,1,100.0,0.02,0.02,0.0,0.0,11.4,0.0,0,0,0.0,0.0,0.04,0.0,0.0,Anthony PattersonSunderland
EFL Championship,Sunderland,Jobe Bellingham,eng ENG,MF,18.0,39.0,4,52,9,17.3,1.33,0.23,0.08,0.44,19.0,0.0,0,0,3.0,3.0,0.06,1.0,1.0,Jobe BellinghamSunderland
EFL Championship,Sunderland,Patrick Roberts,eng ENG,"FW,MF",27.0,36.4,2,76,13,17.1,2.09,0.36,0.01,0.08,20.0,5.0,1,2,5.7,4.2,0.05,-3.7,-3.2,Patrick RobertsSunderland
EFL Championship,Sunderland,Chris Mepham,wls WAL,DF,26.0,36.4,1,14,6,42.9,0.38,0.16,0.07,0.17,12.5,0.0,0,0,1.7,1.7,0.12,-0.7,-0.7,Chris MephamSunderland
EFL Championship,Sunderland,Chris Rigg,eng ENG,"MF,FW",17.0,33.9,4,48,14,29.2,1.41,0.41,0.08,0.29,16.1,0.0,0,0,5.8,5.8,0.12,-1.8,-1.8,Chris RiggSunderland
EFL Championship,Sunderland,Wilson Isidor,fr FRA,FW,23.0,34.6,12,93,39,41.9,2.69,1.13,0.13,0.31,13.8,1.0,0,2,15.2,13.7,0.15,-3.2,-1.7,Wilson IsidorSunderland
EFL Championship,Sunderland,Dennis Cirkin,eng ENG,DF,22.0,30.4,3,40,7,17.5,1.31,0.23,0.08,0.43,14.4,0.0,0,0,2.0,2.0,0.05,1.0,1.0,Dennis CirkinSunderland
EFL Championship,Sunderland,Eliezer Mayenda,es ESP,"FW,MF",19.0,23.9,8,56,25,44.6,2.34,1.04,0.14,0.32,12.7,0.0,0,0,9.7,9.7,0.17,-1.7,-1.7,Eliezer MayendaSunderland
