Squad,Player,Rk,Nation,Pos,Comp,Age,Born,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,PlSqu
Eint Frankfurt,Oscar Hojlund,1196,dk DEN,MF,de Bundesliga,19,2005,8.0,21,12,8,9,4,8,16,50.0,8,15,7,8,5,26,11,1,Oscar HojlundEint Frankfurt
Manchester Utd,Rasmus Hojlund,1197,dk DEN,FW,eng Premier League,21,2003,22.3,3,1,0,2,1,0,5,0.0,5,6,0,6,2,5,6,0,Rasmus HojlundManchester Utd
Osasuna,Pablo Ibanez,1198,es ESP,MF,es La Liga,25,1998,14.4,20,10,7,12,1,10,40,25.0,30,20,7,13,18,38,21,0,Pablo IbanezOsasuna
Reims,Hafiz Ibrahim,1199,ng NGA,FW,fr Ligue 1,18,2005,4.3,3,2,0,1,2,0,5,0.0,5,4,2,2,2,5,6,0,Hafiz IbrahimReims
Lazio,Arijon Ibrahimovic,1200,de GER,MF,it Serie A,18,2005,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Arijon IbrahimovicLazio
Bayern Munich,Arijon Ibrahimovic,1201,de GER,FW,de Bundesliga,18,2005,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Arijon IbrahimovicBayern Munich
Sevilla,Stanis Idumbo,1202,be BEL,"FW,MF",es La Liga,19,2005,3.2,9,5,3,4,2,3,5,60.0,2,3,1,2,4,13,2,0,Stanis IdumboSevilla
Venezia,Jay Idzes,1203,id IDN,DF,it Serie A,24,2000,34.7,45,29,24,17,4,17,33,51.5,16,52,32,20,32,77,156,0,Jay IdzesVenezia
Getafe,Iglesias,1204,es ESP,DF,es La Liga,26,1998,32.1,81,47,42,33,6,46,90,51.1,44,47,8,39,50,131,133,1,IglesiasGetafe
Celta Vigo,Borja Iglesias,1205,es ESP,FW,es La Liga,31,1993,21.7,10,9,2,5,3,4,15,26.7,11,9,2,7,7,17,10,0,Borja IglesiasCelta Vigo
Brighton,Igor,1206,br BRA,DF,eng Premier League,26,1998,10.7,5,5,2,2,1,4,10,40.0,6,24,14,10,4,9,39,1,IgorBrighton
Sevilla,Kelechi Iheanacho,1207,ng NGA,FW,es La Liga,27,1996,4.4,1,0,0,1,0,1,3,33.3,2,0,0,0,0,1,1,0,Kelechi IheanachoSevilla
Como,Jonathan Ikone,1208,fr FRA,FW,it Serie A,26,1998,6.0,15,9,4,3,8,6,11,54.5,5,5,1,4,0,15,1,1,Jonathan IkoneComo
Fiorentina,Jonathan Ikone,1209,fr FRA,"FW,MF",it Serie A,26,1998,3.7,5,2,3,2,0,2,4,50.0,2,3,0,3,1,6,1,0,Jonathan IkoneFiorentina
Monaco,George Ilenikhena,1210,ng NGA,FW,fr Ligue 1,17,2006,8.0,4,2,0,3,1,1,2,50.0,1,0,0,0,2,6,0,0,George IlenikhenaMonaco
Union Berlin,Andrej Ilic,1211,rs SRB,FW,de Bundesliga,24,2000,10.4,2,2,0,2,0,0,6,0.0,6,7,3,4,5,7,6,1,Andrej IlicUnion Berlin
Torino,Ivan Ilic,1212,rs SRB,MF,it Serie A,23,2001,10.2,5,2,0,4,1,2,8,25.0,6,0,0,0,5,10,10,0,Ivan IlicTorino
Nice,Rares Ilie,1213,ro ROU,MF,fr Ligue 1,21,2003,0.1,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,Rares IlieNice
Bologna,Samuel Iling-Junior,1214,eng ENG,"FW,MF",it Serie A,20,2003,1.3,3,2,1,1,1,0,1,0.0,1,1,0,1,2,5,2,0,Samuel Iling-JuniorBologna
West Ham,Danny Ings,1215,eng ENG,"FW,MF",eng Premier League,32,1992,3.2,4,2,2,2,0,1,3,33.3,2,5,0,5,1,5,4,0,Danny IngsWest Ham
Como,Alessio Iovine,1216,it ITA,"DF,FW",it Serie A,33,1991,4.3,5,2,2,3,0,4,10,40.0,6,7,1,6,3,8,21,1,Alessio IovineComo
Everton,Tim Iroegbunam,1217,eng ENG,MF,eng Premier League,21,2003,6.4,29,14,14,10,5,14,23,60.9,9,18,4,14,16,45,12,1,Tim IroegbunamEverton
St. Pauli,Jackson Irvine,1218,au AUS,MF,de Bundesliga,31,1993,29.0,56,28,24,26,6,25,45,55.6,20,27,5,22,36,92,63,2,Jackson IrvineSt. Pauli
West Ham,Andy Irving,1219,sct SCO,MF,eng Premier League,24,2000,1.8,7,4,3,3,1,1,5,20.0,4,5,1,4,1,8,5,0,Andy IrvingWest Ham
Newcastle Utd,Alexander Isak,1220,se SWE,FW,eng Premier League,24,1999,30.6,12,5,2,3,7,5,15,33.3,10,18,2,16,3,15,17,1,Alexander IsakNewcastle Utd
Lazio,Gustav Isaksen,1221,dk DEN,FW,it Serie A,23,2001,24.6,16,9,7,8,1,7,28,25.0,21,22,2,20,10,26,21,1,Gustav IsaksenLazio
Betis,Isco,1222,es ESP,MF,es La Liga,32,1992,17.2,20,13,3,13,4,7,28,25.0,21,10,0,10,11,31,7,0,IscoBetis
Lille,Ismaily,1223,br BRA,DF,fr Ligue 1,34,1990,10.0,33,17,17,12,4,17,26,65.4,9,15,1,14,13,46,49,0,IsmailyLille
Empoli,Ardian Ismajli,1224,al ALB,DF,it Serie A,27,1996,27.9,30,23,21,9,0,16,20,80.0,4,35,24,11,56,86,249,3,Ardian IsmajliEmpoli
Montpellier,Yanis Issoufou,1225,fr FRA,"MF,FW",fr Ligue 1,17,2006,0.9,6,4,4,1,1,3,5,60.0,2,1,0,1,0,6,1,0,Yanis IssoufouMontpellier
Gladbach,Ko Itakura,1226,jp JPN,DF,de Bundesliga,27,1997,31.0,40,29,23,16,1,21,34,61.8,13,41,22,19,28,68,171,0,Ko ItakuraGladbach
Bayern Munich,Hiroki Ito,1227,jp JPN,DF,de Bundesliga,25,1999,2.8,2,0,1,1,0,1,1,100.0,0,3,2,1,6,8,15,1,Hiroki ItoBayern Munich
Reims,Junya Ito,1228,jp JPN,"FW,MF",fr Ligue 1,31,1993,29.9,45,30,19,16,10,17,60,28.3,43,33,3,30,13,58,15,2,Junya ItoReims
Sevilla,Diego Iturralde,1229,es ESP,FW,es La Liga,21,2003,0.4,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,Diego IturraldeSevilla
Holstein Kiel,Marko Ivezic,1230,rs SRB,DF,de Bundesliga,22,2001,18.4,29,19,20,6,3,15,42,35.7,27,25,13,12,27,56,103,2,Marko IvezicHolstein Kiel
Fulham,Alex Iwobi,1231,ng NGA,"FW,MF",eng Premier League,28,1996,33.1,44,25,14,21,9,22,34,64.7,12,26,1,25,14,58,29,1,Alex IwobiFulham
Monza,Armando Izzo,1232,it ITA,DF,it Serie A,32,1992,27.1,40,15,30,9,1,18,36,50.0,18,38,28,10,45,85,101,0,Armando IzzoMonza
Como,Fellipe Jack,1233,br BRA,DF,it Serie A,18,2006,1.9,9,4,8,1,0,3,5,60.0,2,2,2,0,4,13,5,0,Fellipe JackComo
Chelsea,Nicolas Jackson,1234,sn SEN,FW,eng Premier League,23,2001,24.7,22,13,6,7,9,5,10,50.0,5,15,2,13,3,25,15,0,Nicolas JacksonChelsea
Rennes,Jeremy Jacquet,1235,fr FRA,DF,fr Ligue 1,19,2005,10.3,26,17,11,8,7,14,22,63.6,8,9,3,6,27,53,45,1,Jeremy JacquetRennes
Mainz 05,Lee Jae-sung,1236,kr KOR,MF,de Bundesliga,31,1992,29.4,42,21,16,19,7,15,39,38.5,24,39,3,36,35,77,38,0,Lee Jae-sungMainz 05
Valencia,Ivan Jaime Pajuelo,1237,es ESP,MF,es La Liga,23,2000,3.3,8,5,2,3,3,4,5,80.0,1,2,0,2,2,10,0,0,Ivan Jaime PajueloValencia
Augsburg,Kristijan Jakic,1238,hr CRO,MF,de Bundesliga,27,1997,25.6,46,23,20,19,7,22,43,51.2,21,42,9,33,28,74,50,1,Kristijan JakicAugsburg
Valladolid,Karl Jakob Hein,1239,ee EST,GK,es La Liga,22,2002,31.0,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,19,2,Karl Jakob HeinValladolid
Monaco,Ismail Jakobs,1240,sn SEN,DF,fr Ligue 1,24,1999,2.0,5,5,3,0,2,3,5,60.0,2,0,0,0,2,7,6,0,Ismail JakobsMonaco
Rennes,Jordan James,1241,wls WAL,MF,fr Ligue 1,20,2004,13.1,30,19,8,18,4,16,30,53.3,14,14,1,13,14,44,17,1,Jordan JamesRennes
Chelsea,Reece James,1242,eng ENG,"DF,MF",eng Premier League,24,1999,11.8,10,9,6,3,1,3,9,33.3,6,14,6,8,13,23,23,4,Reece JamesChelsea
Brentford,Vitaly Janelt,1243,de GER,MF,eng Premier League,26,1998,25.0,38,22,14,13,11,21,36,58.3,15,33,9,24,27,65,53,1,Vitaly JaneltBrentford
Las Palmas,Adnan Januzaj,1244,be BEL,"MF,FW",es La Liga,29,1995,6.6,10,6,1,6,3,5,9,55.6,4,6,0,6,2,12,3,0,Adnan JanuzajLas Palmas
Stuttgart,Luca Jaquez,1245,ch SUI,DF,de Bundesliga,21,2003,2.8,3,0,3,0,0,1,3,33.3,2,2,0,2,3,6,4,0,Luca JaquezStuttgart
Liverpool,Vitezslav Jaros,1246,cz CZE,GK,eng Premier League,23,2001,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Vitezslav JarosLiverpool
Como,Ali Jasim,1247,iq IRQ,"FW,DF",it Serie A,20,2004,0.1,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,Ali JasimComo
Athletic Club,Mikel Jauregizar,1248,es ESP,MF,es La Liga,20,2003,24.9,84,48,25,45,14,41,83,49.4,42,24,4,20,29,113,36,2,Mikel JauregizarAthletic Club
Holstein Kiel,Dominik Javorcek,1249,sk SVK,"DF,MF",de Bundesliga,21,2002,4.3,3,0,3,0,0,1,5,20.0,4,7,3,4,5,8,26,1,Dominik JavorcekHolstein Kiel
Lecce,Gaby Jean,1250,fr FRA,DF,it Serie A,24,2000,15.4,14,7,8,5,1,6,11,54.5,5,13,10,3,9,23,71,1,Gaby JeanLecce
Bournemouth,Daniel Jebbison,1251,ca CAN,FW,eng Premier League,20,2003,1.3,5,3,3,2,0,4,6,66.7,2,2,1,1,1,6,1,0,Daniel JebbisonBournemouth
Stuttgart,Finn Jeltsch,1252,de GER,DF,de Bundesliga,18,2006,8.7,18,13,6,11,1,12,15,80.0,3,12,6,6,13,31,27,2,Finn JeltschStuttgart
Reims,Malcolm Jeng,1253,se SWE,DF,fr Ligue 1,19,2005,1.2,0,0,0,0,0,0,0,,0,1,0,1,3,3,10,0,Malcolm JengReims
Augsburg,Fredrik Jensen,1254,fi FIN,MF,de Bundesliga,26,1997,8.5,7,7,1,3,3,4,5,80.0,1,10,1,9,4,11,17,0,Fredrik JensenAugsburg
Brentford,Mathias Jensen,1255,dk DEN,MF,eng Premier League,28,1996,9.6,14,10,6,6,2,8,16,50.0,8,15,4,11,8,22,13,2,Mathias JensenBrentford
Mainz 05,Moritz Jenz,1256,de GER,DF,de Bundesliga,25,1999,17.8,36,20,18,18,0,16,21,76.2,5,23,14,9,30,66,128,2,Moritz JenzMainz 05
Arsenal,Gabriel Jesus,1257,br BRA,FW,eng Premier League,27,1997,6.8,10,6,4,3,3,4,9,44.4,5,10,1,9,4,14,8,0,Gabriel JesusArsenal
Napoli,Juan Jesus,1258,br BRA,DF,it Serie A,33,1991,11.9,25,14,16,9,0,12,20,60.0,8,15,3,12,9,34,42,0,Juan JesusNapoli
Milan,Alejandro Jimenez,1259,es ESP,"DF,FW",it Serie A,19,2005,14.1,24,13,8,14,2,11,27,40.7,16,24,3,21,15,39,23,0,Alejandro JimenezMilan
Fulham,Raul Jimenez,1260,mx MEX,FW,eng Premier League,33,1991,27.7,35,24,9,17,9,8,22,36.4,14,21,5,16,10,45,23,3,Raul JimenezFulham
Brentford,Kim Jisoo,1261,kr KOR,DF,eng Premier League,19,2004,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Kim JisooBrentford
Brighton,Joao Pedro,1262,br BRA,"FW,MF",eng Premier League,22,2001,21.6,16,12,6,6,4,4,11,36.4,7,12,0,12,9,25,12,0,Joao PedroBrighton
Getafe,John Joe,1263,ie IRL,"MF,FW",es La Liga,20,2003,0.5,0,0,0,0,0,0,0,,0,1,1,0,0,0,1,0,John JoeGetafe
Reims,John Joe,1264,ie IRL,MF,fr Ligue 1,20,2003,6.1,24,15,11,10,3,7,19,36.8,12,11,2,9,6,30,9,0,John JoeReims
Newcastle Utd,Joelinton,1265,br BRA,"MF,FW",eng Premier League,27,1996,26.6,57,35,23,23,11,25,44,56.8,19,37,7,30,23,80,47,2,JoelintonNewcastle Utd
Espanyol,Jofre,1266,es ESP,"MF,FW",es La Liga,23,2001,24.1,22,16,14,5,3,13,23,56.5,10,13,0,13,15,37,29,0,JofreEspanyol
Lecce,Thorir Johann Helgason,1267,is ISL,MF,it Serie A,23,2000,12.8,10,7,3,6,1,7,13,53.8,6,7,2,5,6,16,11,2,Thorir Johann HelgasonLecce
Holstein Kiel,Carl Johansson,1268,se SWE,DF,de Bundesliga,30,1994,6.3,4,2,4,0,0,3,7,42.9,4,12,8,4,10,14,54,1,Carl JohanssonHolstein Kiel
Ipswich Town,Ben Johnson,1269,eng ENG,"DF,FW",eng Premier League,24,2000,15.0,38,22,23,12,3,20,41,48.8,21,22,5,17,13,51,54,1,Ben JohnsonIpswich Town
Tottenham,Brennan Johnson,1270,wls WAL,FW,eng Premier League,23,2001,24.2,39,26,9,20,10,16,34,47.1,18,25,3,22,4,43,14,0,Brennan JohnsonTottenham
Strasbourg,Karl-Johan Johnsson,1271,se SWE,GK,fr Ligue 1,34,1990,3.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,3,0,Karl-Johan JohnssonStrasbourg
Wolves,Sam Johnstone,1272,eng ENG,GK,eng Premier League,31,1993,7.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,7,0,Sam JohnstoneWolves
Auxerre,Paul Joly,1273,fr FRA,DF,fr Ligue 1,24,2000,11.2,49,32,30,17,2,27,45,60.0,18,19,1,18,25,74,32,5,Paul JolyAuxerre
Liverpool,Curtis Jones,1274,eng ENG,"MF,DF",eng Premier League,23,2001,19.0,39,22,6,23,10,17,27,63.0,10,22,9,13,7,46,10,3,Curtis JonesLiverpool
Barcelona,Frenkie de Jong,1275,nl NED,MF,es La Liga,27,1997,12.7,19,11,5,8,6,8,16,50.0,8,9,1,8,12,31,7,1,Frenkie de JongBarcelona
Alaves,Joan Jordan,1276,es ESP,MF,es La Liga,30,1994,15.7,32,18,11,17,4,17,30,56.7,13,12,0,12,9,41,21,0,Joan JordanAlaves
Arsenal,Jorginho,1277,it ITA,MF,eng Premier League,32,1991,7.8,12,4,1,7,4,8,20,40.0,12,3,0,3,7,19,2,2,JorginhoArsenal
Venezia,Jesse Joronen,1278,fi FIN,GK,it Serie A,31,1993,7.8,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,1,Jesse JoronenVenezia
Rennes,Jota,1279,pt POR,"FW,MF",fr Ligue 1,25,1999,3.7,5,2,2,3,0,4,7,57.1,3,1,0,1,3,8,2,0,JotaRennes
Liverpool,Diogo Jota,1280,pt POR,FW,eng Premier League,27,1996,13.3,14,8,2,8,4,7,19,36.8,12,9,0,9,8,22,6,0,Diogo JotaLiverpool
Le Havre,Antoine Joujou,1281,fr FRA,"MF,FW",fr Ligue 1,21,2003,10.5,16,11,10,4,2,9,15,60.0,6,15,3,12,9,25,19,0,Antoine JoujouLe Havre
Milan,Luka Jovic,1282,rs SRB,"FW,MF",it Serie A,26,1997,6.2,0,0,0,0,0,0,0,,0,2,1,1,1,1,3,0,Luka JovicMilan
Getafe,Juanmi,1283,es ESP,"FW,MF",es La Liga,31,1993,7.7,14,11,4,7,3,6,19,31.6,13,6,0,6,2,16,3,0,JuanmiGetafe
Betis,Juanmi,1284,es ESP,"FW,MF",es La Liga,31,1993,2.7,7,4,3,3,1,4,6,66.7,2,4,0,4,1,8,4,0,JuanmiBetis
Girona,Juanpe,1285,es ESP,DF,es La Liga,33,1991,8.1,8,5,5,3,0,6,8,75.0,2,15,10,5,8,16,56,1,JuanpeGirona
Auxerre,Jubal,1286,br BRA,DF,fr Ligue 1,30,1993,29.3,60,39,46,13,1,28,40,70.0,12,61,36,25,25,85,201,1,JubalAuxerre
Werder Bremen,Anthony Jung,1287,de GER,DF,de Bundesliga,32,1991,21.1,34,22,22,11,1,22,34,64.7,12,23,14,9,25,59,77,1,Anthony JungWerder Bremen
Villarreal,Luiz Lucio Reis Junior,1288,br BRA,GK,es La Liga,23,2001,16.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,14,1,Luiz Lucio Reis JuniorVillarreal
Auxerre,Hamed Junior Traore,1289,ci CIV,MF,fr Ligue 1,24,2000,23.3,41,20,11,17,13,16,54,29.6,38,14,0,14,8,49,11,0,Hamed Junior TraoreAuxerre
Real Madrid,Vinicius Junior,1290,br BRA,FW,es La Liga,24,2000,25.0,21,10,7,4,10,5,18,27.8,13,9,0,9,3,24,1,2,Vinicius JuniorReal Madrid
Union Berlin,Josip Juranovic,1291,hr CRO,"DF,MF",de Bundesliga,28,1995,12.9,21,13,12,6,3,10,25,40.0,15,13,6,7,7,28,42,2,Josip JuranovicUnion Berlin
Hoffenheim,David Jurasek,1292,cz CZE,DF,de Bundesliga,23,2000,6.9,6,3,3,2,1,2,5,40.0,3,5,0,5,6,12,17,0,David JurasekHoffenheim
Valladolid,Stanko Juric,1293,hr CRO,MF,es La Liga,27,1996,19.2,48,24,26,19,3,19,48,39.6,29,35,11,24,24,72,52,0,Stanko JuricValladolid
Leicester City,James Justin,1294,eng ENG,DF,eng Premier League,26,1998,32.4,58,37,29,23,6,32,55,58.2,23,48,17,31,46,104,141,3,James JustinLeicester City
Chelsea,Filip Jorgensen,1295,dk DEN,GK,eng Premier League,22,2002,6.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,3,Filip JorgensenChelsea
Lecce,Mohamed Kaba,1296,fr FRA,MF,it Serie A,22,2001,5.0,13,8,7,5,1,8,10,80.0,2,11,4,7,4,17,10,1,Mohamed KabaLecce
Augsburg,Yusuf Kabadayi,1297,de GER,"FW,MF",de Bundesliga,20,2004,0.8,1,0,0,1,0,0,0,,0,1,0,1,0,1,0,0,Yusuf KabadayiAugsburg
Dortmund,Almugera Kabar,1298,de GER,DF,de Bundesliga,18,2006,1.5,5,3,2,2,1,3,3,100.0,0,1,0,1,1,6,4,0,Almugera KabarDortmund
Udinese,Christian Kabasele,1299,be BEL,DF,it Serie A,33,1991,12.9,17,9,10,7,0,11,14,78.6,3,14,8,6,14,31,75,1,Christian KabaseleUdinese
Werder Bremen,Issa Kabore,1300,bf BFA,"DF,FW",de Bundesliga,23,2001,3.4,8,4,2,5,1,4,6,66.7,2,8,2,6,2,10,7,0,Issa KaboreWerder Bremen
Reims,Yaya Kader Fofana,1301,ml MLI,"MF,FW",fr Ligue 1,20,2004,7.0,17,11,8,5,4,4,12,33.3,8,11,2,9,3,20,2,0,Yaya Kader FofanaReims
Hoffenheim,Pavel Kaderabek,1302,cz CZE,DF,de Bundesliga,32,1992,17.5,25,14,14,4,7,15,31,48.4,16,13,3,10,20,45,54,1,Pavel KaderabekHoffenheim
Nantes,Tino Kadewere,1303,zw ZIM,"MF,FW",fr Ligue 1,28,1996,5.7,14,8,5,3,6,6,13,46.2,7,3,0,3,6,20,8,0,Tino KadewereNantes
Brighton,Ferdi Kadioglu,1304,tr TUR,"DF,MF",eng Premier League,24,1999,4.3,10,6,4,5,1,6,15,40.0,9,2,2,0,8,18,17,0,Ferdi KadiogluBrighton
Rennes,Arnaud Kalimuendo,1305,fr FRA,"FW,MF",fr Ligue 1,22,2002,28.6,19,12,6,9,4,7,15,46.7,8,9,2,7,4,23,16,1,Arnaud KalimuendoRennes
Juventus,Pierre Kalulu,1306,fr FRA,DF,it Serie A,24,2000,26.0,41,25,29,9,3,18,24,75.0,6,27,15,12,17,58,68,1,Pierre KaluluJuventus
Angers,Justin-Noel Kalumba,1307,fr FRA,"FW,MF",fr Ligue 1,19,2004,0.3,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,Justin-Noel KalumbaAngers
Crystal Palace,Daichi Kamada,1308,jp JPN,MF,eng Premier League,27,1996,17.4,47,29,19,24,4,14,41,34.1,27,22,5,17,18,65,14,0,Daichi KamadaCrystal Palace
Toulouse,Warren Kamanzi,1309,no NOR,"DF,MF",fr Ligue 1,23,2000,11.4,29,13,12,12,5,14,28,50.0,14,7,3,4,9,38,25,0,Warren KamanziToulouse
Aston Villa,Boubacar Kamara,1310,fr FRA,MF,eng Premier League,24,1999,19.2,50,21,28,18,4,29,56,51.8,27,19,7,12,19,69,51,3,Boubacar KamaraAston Villa
Rennes,Glen Kamara,1311,fi FIN,MF,fr Ligue 1,28,1995,7.4,23,11,10,11,2,11,17,64.7,6,7,0,7,7,30,7,0,Glen KamaraRennes
Udinese,Hassane Kamara,1312,ci CIV,DF,it Serie A,30,1994,22.2,35,25,20,11,4,16,28,57.1,12,23,5,18,26,61,49,1,Hassane KamaraUdinese
Paris S-G,Noham Kamara,1313,fr FRA,DF,fr Ligue 1,17,2007,0.8,1,1,0,1,0,0,0,,0,1,1,0,1,2,1,0,Noham KamaraParis S-G
Villarreal,Willy Kambwala,1314,fr FRA,DF,es La Liga,19,2004,12.4,17,12,14,2,1,10,12,83.3,2,10,7,3,10,27,56,1,Willy KambwalaVillarreal
Wolfsburg,Jakub Kaminski,1315,pl POL,"DF,MF",de Bundesliga,22,2002,12.6,17,8,8,3,6,9,22,40.9,13,17,7,10,13,30,23,1,Jakub KaminskiWolfsburg
RB Leipzig,Kevin Kampl,1316,si SVN,MF,de Bundesliga,33,1990,17.7,27,18,11,10,6,16,26,61.5,10,25,6,19,24,51,25,0,Kevin KamplRB Leipzig
Strasbourg,Nordine Kandil,1317,fr FRA,MF,fr Ligue 1,22,2001,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Nordine KandilStrasbourg
Bayern Munich,Harry Kane,1318,eng ENG,FW,de Bundesliga,31,1993,26.5,13,11,3,8,2,2,6,33.3,4,16,2,14,2,15,16,0,Harry KaneBayern Munich
Paris S-G,Lee Kang-in,1319,kr KOR,"FW,MF",fr Ligue 1,23,2001,18.5,25,17,7,11,7,19,35,54.3,16,11,1,10,3,28,3,1,Lee Kang-inParis S-G
Torino,Yann Karamoh,1320,fr FRA,"MF,FW",it Serie A,26,1998,11.6,5,2,2,1,2,4,9,44.4,5,10,2,8,3,8,5,0,Yann KaramohTorino
Stuttgart,Atakan Karazor,1321,,MF,de Bundesliga,27,1996,29.1,59,29,19,28,12,29,57,50.9,28,39,7,32,32,91,51,1,Atakan KarazorStuttgart
Bologna,Jesper Karlsson,1322,se SWE,FW,it Serie A,26,1998,3.3,1,0,0,0,1,0,2,0.0,2,4,0,4,0,1,3,0,Jesper KarlssonBologna
Lecce,Jesper Karlsson,1323,se SWE,FW,it Serie A,26,1998,5.5,3,2,3,0,0,2,8,25.0,6,2,0,2,0,3,4,0,Jesper KarlssonLecce
Udinese,Jesper Karlstrom,1324,se SWE,MF,it Serie A,29,1995,35.4,61,34,32,21,8,25,51,49.0,26,28,11,17,35,96,82,5,Jesper KarlstromUdinese
Genoa,Lior Kasa,1325,il ISR,"MF,FW",it Serie A,18,2005,2.6,4,4,2,2,0,2,5,40.0,3,4,1,3,3,7,5,0,Lior KasaGenoa
Hellas Verona,Grigoris Kastanos,1326,cy CYP,"MF,FW",it Serie A,26,1998,9.7,23,16,8,7,8,9,21,42.9,12,17,2,15,7,30,8,0,Grigoris KastanosHellas Verona
Heidenheim,Mikkel Kaufmann,1327,dk DEN,FW,de Bundesliga,23,2001,4.1,6,4,1,3,2,2,5,40.0,3,5,2,3,2,8,7,0,Mikkel KaufmannHeidenheim
Southampton,Joachim Kayi Sanda,1328,fr FRA,DF,eng Premier League,17,2006,0.2,0,0,0,0,0,0,0,,0,0,0,0,2,2,0,0,Joachim Kayi SandaSouthampton
Brentford,Michael Kayode,1329,it ITA,DF,eng Premier League,20,2004,5.9,17,11,12,5,0,9,13,69.2,4,3,0,3,7,24,19,0,Michael KayodeBrentford
Fiorentina,Michael Kayode,1330,it ITA,"DF,FW",it Serie A,20,2004,1.4,1,1,1,0,0,0,0,,0,3,1,2,2,3,7,0,Michael KayodeFiorentina
Fiorentina,Moise Kean,1331,it ITA,FW,it Serie A,24,2000,29.1,7,5,1,2,4,3,4,75.0,1,12,0,12,5,12,26,1,Moise KeanFiorentina
Everton,Michael Keane,1332,eng ENG,DF,eng Premier League,31,1993,11.7,12,9,8,2,2,8,15,53.3,7,14,10,4,16,28,65,2,Michael KeaneEverton
Le Havre,Yassine Kechta,1333,ma MAR,"MF,FW",fr Ligue 1,22,2002,23.3,60,36,32,21,7,33,78,42.3,45,25,2,23,26,86,32,2,Yassine KechtaLe Havre
Monaco,Thilo Kehrer,1334,de GER,DF,fr Ligue 1,27,1996,26.5,37,23,26,11,0,22,38,57.9,16,18,10,8,36,73,113,1,Thilo KehrerMonaco
Getafe,Abdoulaye Keita,1335,es ESP,"FW,MF",es La Liga,21,2002,1.1,2,2,0,1,1,2,4,50.0,2,1,0,1,0,2,3,0,Abdoulaye KeitaGetafe
Parma,Mandela Keita,1336,be BEL,MF,it Serie A,22,2002,20.3,44,25,13,25,6,18,35,51.4,17,18,7,11,21,65,29,2,Mandela KeitaParma
Stuttgart,Yannik Keitel,1337,de GER,MF,de Bundesliga,24,2000,3.0,9,6,3,5,1,9,10,90.0,1,5,2,3,4,13,6,0,Yannik KeitelStuttgart
Holstein Kiel,Andu Kelati,1338,de GER,"MF,DF",de Bundesliga,21,2002,3.2,7,4,2,4,1,2,5,40.0,3,4,1,3,3,10,3,0,Andu KelatiHolstein Kiel
Liverpool,Caoimhin Kelleher,1339,ie IRL,GK,eng Premier League,25,1998,10.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,2,Caoimhin KelleherLiverpool
Heidenheim,Thomas Keller,1340,de GER,"DF,MF",de Bundesliga,24,1999,1.6,6,5,5,1,0,4,6,66.7,2,3,1,2,4,10,11,0,Thomas KellerHeidenheim
Newcastle Utd,Lloyd Kelly,1341,eng ENG,DF,eng Premier League,25,1998,3.4,5,4,4,1,0,1,1,100.0,0,6,4,2,1,6,17,0,Lloyd KellyNewcastle Utd
Juventus,Lloyd Kelly,1342,eng ENG,DF,it Serie A,25,1998,11.3,15,11,5,9,1,7,9,77.8,2,11,6,5,2,17,56,3,Lloyd KellyJuventus
Union Berlin,Aljoscha Kemlein,1343,de GER,MF,de Bundesliga,19,2004,10.2,10,4,4,5,1,5,14,35.7,9,14,3,11,6,16,15,0,Aljoscha KemleinUnion Berlin
Como,Marc-Oliver Kempf,1344,de GER,DF,it Serie A,29,1995,29.1,30,20,15,14,1,13,24,54.2,11,35,26,9,33,63,136,4,Marc-Oliver KempfComo
Valladolid,Kenedy,1345,br BRA,"MF,FW",es La Liga,28,1996,0.1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,KenedyValladolid
Heidenheim,Luca Kerber,1346,de GER,"MF,DF",de Bundesliga,22,2002,8.7,26,16,17,8,1,16,31,51.6,15,14,4,10,5,31,25,1,Luca KerberHeidenheim
Bournemouth,Milos Kerkez,1347,hu HUN,DF,eng Premier League,20,2003,37.1,52,26,25,20,7,24,38,63.2,14,38,11,27,45,97,106,4,Milos KerkezBournemouth
