League,Squad,Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,PlSqu
EFL Championship,Sunderland,Chris Rigg,eng ENG,"MF,FW",17.0,33.9,8,0,0,31,54,3,68,17,29,1.0,0.0,0,139.0,26.0,45.0,36.6,Chris RiggSunderland
EFL Championship,Sunderland,Wilson Isidor,fr FRA,FW,23.0,34.6,9,0,0,27,27,34,16,7,6,1.0,0.0,0,62.0,35.0,68.0,34.0,Wilson IsidorSunderland
EFL Championship,Sunderland,Dennis Cirkin,eng ENG,DF,22.0,30.4,6,0,0,45,51,1,55,43,50,1.0,1.0,0,105.0,40.0,52.0,43.5,Dennis CirkinSunderland
EFL Championship,Sunderland,Eliezer Mayenda,es ESP,"FW,MF",19.0,23.9,2,0,0,20,30,11,18,4,6,0.0,0.0,0,69.0,16.0,68.0,19.0,Eliezer MayendaSunderland
EFL Championship,Sunderland,Romaine Mundle,eng ENG,"FW,MF",21.0,15.9,1,0,0,32,37,2,81,8,18,1.0,0.0,0,57.0,5.0,15.0,25.0,Romaine MundleSunderland
EFL Championship,Sunderland,Alan Browne,ie IRL,"MF,DF",29.0,13.5,1,0,0,17,27,1,24,11,12,0.0,0.0,0,52.0,15.0,29.0,34.1,Alan BrowneSunderland
EFL Championship,Sunderland,Daniel Ballard,nir NIR,DF,24.0,12.5,3,0,0,13,17,1,0,9,7,0.0,1.0,1,45.0,63.0,24.0,72.4,Daniel BallardSunderland
EFL Championship,Sunderland,Enzo Le Fee,fr FRA,"FW,MF",24.0,11.1,2,0,0,14,18,2,62,15,23,0.0,0.0,0,54.0,7.0,9.0,43.8,Enzo Le FeeSunderland
EFL Championship,Sunderland,Tom Watson,eng ENG,"FW,MF",18.0,9.9,2,0,0,10,19,1,55,5,10,1.0,0.0,0,33.0,2.0,7.0,22.2,Tom WatsonSunderland
EFL Championship,Sunderland,Ajibola Alese,eng ENG,DF,23.0,7.8,2,0,0,8,3,1,10,6,4,0.0,0.0,0,28.0,11.0,14.0,44.0,Ajibola AleseSunderland
EFL Championship,Sunderland,Leo Fuhr Hjelde,no NOR,DF,20.0,4.6,3,0,0,10,0,0,6,4,6,0.0,0.0,0,15.0,21.0,14.0,60.0,Leo Fuhr HjeldeSunderland
EFL Championship,Sunderland,Simon Moore,eng ENG,GK,34.0,4.0,1,0,0,0,1,0,0,0,0,0.0,0.0,0,2.0,0.0,0.0,,Simon MooreSunderland
EFL Championship,Sunderland,Adil Aouchiche,fr FRA,"FW,MF",22.0,3.3,0,0,0,7,4,1,32,0,2,0.0,0.0,0,15.0,3.0,5.0,37.5,Adil AouchicheSunderland
EFL Championship,Sunderland,Milan Aleksic,rs SRB,"MF,FW",18.0,3.2,1,0,0,7,2,0,6,4,4,0.0,0.0,0,18.0,0.0,2.0,0.0,Milan AleksicSunderland
EFL Championship,Sunderland,Salis Abdul Samed,gh GHA,MF,24.0,3.1,0,0,0,6,5,0,0,2,0,0.0,0.0,0,21.0,2.0,2.0,50.0,Salis Abdul SamedSunderland
EFL Championship,Sunderland,Aaron Connolly,ie IRL,"FW,MF",24.0,2.7,0,0,0,2,11,1,0,0,1,0.0,0.0,0,4.0,3.0,13.0,18.8,Aaron ConnollySunderland
EFL Championship,Sunderland,Jack Clarke,eng ENG,FW,23.0,2.0,0,0,0,2,7,2,7,0,1,0.0,0.0,0,9.0,1.0,1.0,50.0,Jack ClarkeSunderland
EFL Championship,Sunderland,Harrison Jones,eng ENG,MF,19.0,1.5,1,0,0,1,1,0,6,0,3,0.0,0.0,0,2.0,1.0,3.0,25.0,Harrison JonesSunderland
EFL Championship,Sunderland,Joe Anderson,eng ENG,DF,23.0,1.1,1,0,0,3,1,0,4,0,2,0.0,0.0,0,9.0,1.0,1.0,50.0,Joe AndersonSunderland
EFL Championship,Sunderland,Ian Poveda,eng ENG,"FW,MF",24.0,1.0,2,0,0,4,3,1,4,0,5,0.0,0.0,0,4.0,0.0,1.0,0.0,Ian PovedaSunderland
EFL Championship,Sunderland,Nazariy Rusyn,ua UKR,FW,25.0,0.8,1,0,0,6,2,0,1,0,2,0.0,0.0,0,4.0,2.0,4.0,33.3,Nazariy RusynSunderland
EFL Championship,Sunderland,Jenson Seelt,nl NED,DF,21.0,0.2,0,0,0,1,0,0,0,0,0,0.0,0.0,0,7.0,0.0,0.0,,Jenson SeeltSunderland
EFL Championship,Sunderland,Nectarios Triantis,au AUS,FW,21.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,,Nectarios TriantisSunderland
EFL Championship,Sunderland,Opponent Total,,,25.8,46.0,107,3,2,589,487,64,794,338,552,5.0,5.0,3,1818.0,684.0,646.0,51.4,Opponent TotalSunderland
EFL Championship,Coventry City,Milan van Ewijk,nl NED,DF,23.0,44.6,1,0,0,37,40,3,131,54,66,0.0,0.0,0,199.0,33.0,32.0,50.8,Milan van EwijkCoventry City
EFL Championship,Coventry City,Jack Rudoni,eng ENG,MF,24.0,38.9,3,0,0,44,36,2,289,24,31,0.0,0.0,0,146.0,60.0,64.0,48.4,Jack RudoniCoventry City
EFL Championship,Coventry City,Bobby Thomas,eng ENG,DF,,37.0,4,0,0,22,29,6,3,38,32,1.0,0.0,1,131.0,127.0,64.0,66.5,Bobby ThomasCoventry City
EFL Championship,Coventry City,Tatsuhiro Sakamoto,jp JPN,"FW,MF",27.0,28.7,4,0,0,29,53,5,73,10,27,0.0,1.0,0,97.0,23.0,28.0,45.1,Tatsuhiro SakamotoCoventry City
EFL Championship,Coventry City,Joel Latibeaudiere,jm JAM,DF,24.0,28.6,5,0,0,30,37,1,9,29,30,0.0,0.0,1,80.0,62.0,38.0,62.0,Joel LatibeaudiereCoventry City
EFL Championship,Coventry City,Oliver Dovin,se SWE,GK,22.0,27.4,1,0,0,0,3,0,0,0,0,0.0,0.0,0,44.0,5.0,0.0,100.0,Oliver DovinCoventry City
EFL Championship,Coventry City,Ellis Simms,eng ENG,FW,23.0,25.4,1,0,0,26,9,3,13,2,2,0.0,0.0,0,37.0,77.0,107.0,41.8,Ellis SimmsCoventry City
EFL Championship,Coventry City,Liam Kitching,eng ENG,DF,24.0,25.4,7,0,0,24,22,5,6,19,18,0.0,0.0,1,72.0,79.0,56.0,58.5,Liam KitchingCoventry City
