Squad,Player,Rk,Nation,Pos,Comp,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP,PlSqu
Nantes,Matthis Abline,14,fr FRA,FW,fr Ligue 1,21,2003,30.8,351,538,65.2,5145,976,185,256,72.3,119,160,74.4,20,38,52.6,2,3.8,3.4,-1.8,27,23,15,4,48,Matthis AblineNantes
Lyon,Abner,15,br BRA,DF,fr Ligue 1,24,2000,12.1,568,675,84.1,8355,3494,335,366,91.5,181,210,86.2,33,55,60.0,1,1.1,2.3,-0.1,11,45,11,2,66,AbnerLyon
Toulouse,Zakaria Aboukhlal,16,ma MAR,"MF,FW",fr Ligue 1,24,2000,21.1,221,349,63.3,2789,753,145,193,75.1,56,94,59.6,6,15,40.0,2,1.6,2.0,+0.4,12,16,10,4,22,Zakaria AboukhlalToulouse
Alaves,Abdel Abqar,17,ma MAR,DF,es La Liga,25,1999,27.4,719,939,76.6,16039,5771,180,194,92.8,421,460,91.5,114,258,44.2,1,0.3,0.4,+0.7,8,67,10,2,79,Abdel AbqarAlaves
Roma,Tammy Abraham,18,eng ENG,FW,it Serie A,26,1997,0.0,1,3,33.3,44,32,0,1,0.0,0,1,0.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,1,Tammy AbrahamRoma
Milan,Tammy Abraham,19,eng ENG,FW,it Serie A,26,1997,13.1,152,221,68.8,1956,534,94,124,75.8,46,74,62.2,3,6,50.0,4,2.2,1.3,+1.8,14,13,10,0,26,Tammy AbrahamMilan
Genoa,Federico Accornero,20,it ITA,MF,it Serie A,20,2004,0.1,4,6,66.7,55,19,2,3,66.7,2,2,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Federico AccorneroGenoa
Inter,Francesco Acerbi,21,it ITA,DF,it Serie A,36,1988,19.0,1200,1297,92.5,22280,6158,406,434,93.5,697,727,95.9,83,106,78.3,1,0.6,1.4,+0.4,9,59,8,5,62,Francesco AcerbiInter
Chelsea,Joshua Acheampong,22,eng ENG,DF,eng Premier League,18,2006,1.9,104,124,83.9,2025,705,29,32,90.6,63,68,92.6,11,20,55.0,0,0.0,0.0,0.0,0,6,0,0,8,Joshua AcheampongChelsea
Sevilla,Akor Adams,23,ng NGA,FW,es La Liga,24,2000,1.5,20,27,74.1,334,48,9,12,75.0,7,9,77.8,3,5,60.0,0,0.0,0.0,0.0,0,3,1,0,5,Akor AdamsSevilla
Montpellier,Akor Adams,24,ng NGA,FW,fr Ligue 1,24,2000,11.9,112,179,62.6,1540,198,72,101,71.3,32,49,65.3,3,10,30.0,1,1.0,0.1,0.0,12,8,0,0,6,Akor AdamsMontpellier
Torino,Che Adams,25,sct SCO,FW,it Serie A,28,1996,29.5,414,557,74.3,6531,1184,221,283,78.1,134,168,79.8,37,53,69.8,3,2.0,2.9,+1.0,26,32,7,0,40,Che AdamsTorino
Bournemouth,Tyler Adams,26,us USA,MF,eng Premier League,25,1999,21.8,902,1069,84.4,14322,3525,437,489,89.4,393,443,88.7,38,65,58.5,3,1.0,0.8,+2.0,18,67,4,1,76,Tyler AdamsBournemouth
Freiburg,Junior Adamu,27,at AUT,FW,de Bundesliga,23,2001,17.2,198,312,63.5,2376,316,124,180,68.9,48,70,68.6,2,6,33.3,2,2.4,1.9,-0.4,17,7,8,0,14,Junior AdamuFreiburg
Chelsea,Tosin Adarabioyo,28,eng ENG,DF,eng Premier League,26,1997,15.7,1079,1184,91.1,19805,7144,406,425,95.5,603,636,94.8,66,109,60.6,1,0.2,0.2,+0.8,1,62,1,0,42,Tosin AdarabioyoChelsea
Reims,Martin Adeline,29,fr FRA,MF,fr Ligue 1,20,2003,0.3,8,10,80.0,138,11,3,3,100.0,3,4,75.0,1,2,50.0,0,0.0,0.0,0.0,0,1,0,0,0,Martin AdelineReims
Dortmund,Karim Adeyemi,30,de GER,"FW,MF",de Bundesliga,22,2002,15.9,298,401,74.3,4376,889,164,202,81.2,99,123,80.5,16,23,69.6,6,6.0,4.1,0.0,28,10,19,2,28,Karim AdeyemiDortmund
Brighton,Simon Adingra,31,ci CIV,"FW,MF",eng Premier League,22,2002,12.2,290,382,75.9,4148,820,187,217,86.2,81,109,74.3,16,29,55.2,2,2.5,2.8,-0.5,16,5,17,6,18,Simon AdingraBrighton
Leverkusen,Amine Adli,32,ma MAR,"MF,FW",de Bundesliga,24,2000,8.5,267,360,74.2,3379,721,170,202,84.2,72,99,72.7,6,19,31.6,0,0.7,1.9,-0.7,11,9,15,4,24,Amine AdliLeverkusen
Fiorentina,Yacine Adli,33,fr FRA,MF,it Serie A,24,2000,13.7,718,890,80.7,14050,4602,299,332,90.1,291,331,87.9,116,193,60.1,6,2.4,2.2,+3.6,23,84,16,4,103,Yacine AdliFiorentina
Betis,Adrian,34,es ESP,GK,es La Liga,37,1987,19.0,474,619,76.6,12206,8309,74,76,97.4,265,268,98.9,134,269,49.8,0,0.0,0.0,0.0,0,4,0,0,0,AdrianBetis
Lyon,Adryelson,35,br BRA,DF,fr Ligue 1,26,1998,0.0,1,3,33.3,21,19,0,1,0.0,1,2,50.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,1,AdryelsonLyon
Juventus,Vasilije Adzic,36,me MNE,"MF,FW",it Serie A,18,2006,0.5,15,20,75.0,255,52,8,10,80.0,5,6,83.3,2,2,100.0,0,0.0,0.0,0.0,0,1,1,0,1,Vasilije AdzicJuventus
